,Fecha,Valor
0,2022-01-01,3.6051686
0,2022-01-02,4.5217943
0,2022-01-03,2.5679002
0,2022-01-04,2.801124
0,2022-01-05,2.822128
0,2022-01-06,2.7663534
0,2022-01-07,2.0623834
0,2022-01-08,3.3321052
0,2022-01-09,3.10421
0,2022-01-10,3.4696345
0,2022-01-11,1.937739
0,2022-01-12,2.172631
0,2022-01-13,2.8244054
0,2022-01-14,3.1727598
0,2022-01-15,3.673362
0,2022-01-16,2.9147666
0,2022-01-17,3.0218291
0,2022-01-18,3.220052
0,2022-01-19,3.1798759
0,2022-01-20,3.0590532
0,2022-01-21,1.8719337
0,2022-01-22,1.4712224
0,2022-01-23,1.2299592
0,2022-01-24,2.6462152
0,2022-01-25,2.5772862
0,2022-01-26,1.966319
0,2022-01-27,1.5897478
0,2022-01-28,1.989728
0,2022-01-29,2.2258997
0,2022-01-30,3.3031373
0,2022-01-31,3.3946407
0,2022-02-01,3.3084705
0,2022-02-02,3.9797478
0,2022-02-03,3.6238787
0,2022-02-04,2.7374737
0,2022-02-05,2.5703866
0,2022-02-06,3.1093054
0,2022-02-07,2.6578214
0,2022-02-08,1.8878391
0,2022-02-09,3.164334
0,2022-02-10,2.7409897
0,2022-02-11,2.4521306
0,2022-02-12,4.318008
0,2022-02-13,3.300679
0,2022-02-14,3.0719538
0,2022-02-15,3.724121
0,2022-02-16,4.2601523
0,2022-02-17,4.8835597
0,2022-02-18,4.5385833
0,2022-02-19,2.8716595
0,2022-02-20,3.7317474
0,2022-02-21,4.235814
0,2022-02-22,4.2640853
0,2022-02-23,4.325427
0,2022-02-24,4.096191
0,2022-02-25,2.5210705
0,2022-02-26,3.0149627
0,2022-02-27,2.9721742
0,2022-02-28,3.5259023
0,2022-03-01,3.959784
0,2022-03-02,4.216826
0,2022-03-03,3.9077005
0,2022-03-04,3.8956666
0,2022-03-05,4.7596803
0,2022-03-06,4.8890405
0,2022-03-07,4.7891393
0,2022-03-08,3.849199
0,2022-03-09,3.412281
0,2022-03-10,4.6646285
0,2022-03-11,5.8994017
0,2022-03-12,3.9244366
0,2022-03-13,4.1817493
0,2022-03-14,4.664267
0,2022-03-15,5.4685054
0,2022-03-16,5.5647597
0,2022-03-17,6.025213
0,2022-03-18,5.913547
0,2022-03-19,3.9243598
0,2022-03-20,4.1690407
0,2022-03-21,5.9702687
0,2022-03-22,5.8426514
0,2022-03-23,5.3443213
0,2022-03-24,4.7532487
0,2022-03-25,5.314097
0,2022-03-26,5.518071
0,2022-03-27,5.480632
0,2022-03-28,5.4770947
0,2022-03-29,6.0716944
0,2022-03-30,6.22979
0,2022-03-31,5.608611
0,2022-04-01,5.224958
0,2022-04-02,5.2543125
0,2022-04-03,5.021874
0,2022-04-04,6.1601367
0,2022-04-05,6.2785144
0,2022-04-06,7.032402
0,2022-04-07,6.403399
0,2022-04-08,5.602086
0,2022-04-09,5.9054112
0,2022-04-10,6.352604
0,2022-04-11,6.4632335
0,2022-04-12,5.770479
0,2022-04-13,6.7118793
0,2022-04-14,6.5117927
0,2022-04-15,6.163354
0,2022-04-16,5.9641294
0,2022-04-17,5.9795194
0,2022-04-18,5.197564
0,2022-04-19,5.2834525
0,2022-04-20,5.5909925
0,2022-04-21,4.1032143
0,2022-04-22,4.6732383
0,2022-04-23,5.989323
0,2022-04-24,5.6141877
0,2022-04-25,4.568073
0,2022-04-26,3.2569873
0,2022-04-27,4.291437
0,2022-04-28,4.6613216
0,2022-04-29,5.5527964
0,2022-04-30,5.58721
0,2022-05-01,4.557532
0,2022-05-02,5.018797
0,2022-05-03,5.388003
0,2022-05-04,6.012001
0,2022-05-05,5.866168
0,2022-05-06,5.5436397
0,2022-05-07,6.0830803
0,2022-05-08,6.3797703
0,2022-05-09,6.287521
0,2022-05-10,4.6350646
0,2022-05-11,5.340196
0,2022-05-12,6.366562
0,2022-05-13,6.687192
0,2022-05-14,6.3027453
0,2022-05-15,6.6698084
0,2022-05-16,6.634955
0,2022-05-17,6.992102
0,2022-05-18,6.175324
0,2022-05-19,6.2693167
0,2022-05-20,6.3631086
0,2022-05-21,6.268201
0,2022-05-22,5.540866
0,2022-05-23,5.172845
0,2022-05-24,5.354875
0,2022-05-25,5.944291
0,2022-05-26,5.0353475
0,2022-05-27,6.183382
0,2022-05-28,6.3995495
0,2022-05-29,6.712968
0,2022-05-30,6.5090804
0,2022-05-31,5.706679
0,2022-06-01,5.3855915
0,2022-06-02,5.3797865
0,2022-06-03,6.0267324
0,2022-06-04,5.9349837
0,2022-06-05,6.74893
0,2022-06-06,6.853609
0,2022-06-07,6.8786745
0,2022-06-08,6.6065316
0,2022-06-09,5.087054
0,2022-06-10,6.6018114
0,2022-06-11,6.4394364
0,2022-06-12,6.425304
0,2022-06-13,5.244207
0,2022-06-14,4.664017
0,2022-06-15,4.6337533
0,2022-06-16,5.1066833
0,2022-06-17,5.7057037
0,2022-06-18,5.0268416
0,2022-06-19,5.2247095
0,2022-06-20,5.137292
0,2022-06-21,4.474828
0,2022-06-22,3.825211
0,2022-06-23,5.4705386
0,2022-06-24,5.946164
0,2022-06-25,5.834705
0,2022-06-26,5.635124
0,2022-06-27,5.6213593
0,2022-06-28,5.660632
0,2022-06-29,5.0209394
0,2022-06-30,5.2296433
0,2022-07-01,6.2225456
0,2022-07-02,5.554418
0,2022-07-03,5.6591506
0,2022-07-04,5.6958103
0,2022-07-05,5.821026
0,2022-07-06,6.3352113
0,2022-07-07,5.8813972
0,2022-07-08,6.1493917
0,2022-07-09,6.318079
0,2022-07-10,6.6173306
0,2022-07-11,6.611519
0,2022-07-12,6.0039635
0,2022-07-13,5.6860943
0,2022-07-14,5.2765203
0,2022-07-15,4.2021303
0,2022-07-16,5.4803305
0,2022-07-17,5.8834066
0,2022-07-18,6.050292
0,2022-07-19,6.4573984
0,2022-07-20,6.577692
0,2022-07-21,6.417214
0,2022-07-22,5.622325
0,2022-07-23,5.7221656
0,2022-07-24,5.5603447
0,2022-07-25,5.2912865
0,2022-07-26,5.8208117
0,2022-07-27,5.1962543
0,2022-07-28,5.443784
0,2022-07-29,5.195069
0,2022-07-30,5.3640223
0,2022-07-31,5.0087805
0,2022-08-01,5.1591864
0,2022-08-02,5.3831844
0,2022-08-03,6.0495915
0,2022-08-04,6.0495334
0,2022-08-05,5.6361837
0,2022-08-06,5.61153
0,2022-08-07,5.7447867
0,2022-08-08,5.809712
0,2022-08-09,5.821786
0,2022-08-10,5.995736
0,2022-08-11,6.033861
0,2022-08-12,5.826445
0,2022-08-13,4.439418
0,2022-08-14,4.309128
0,2022-08-15,4.8741865
0,2022-08-16,4.4793863
0,2022-08-17,5.333023
0,2022-08-18,5.6300025
0,2022-08-19,5.4715056
0,2022-08-20,5.1645174
0,2022-08-21,4.6823134
0,2022-08-22,5.851976
0,2022-08-23,6.130394
0,2022-08-24,5.9032273
0,2022-08-25,5.855393
0,2022-08-26,5.606271
0,2022-08-27,5.805744
0,2022-08-28,5.6742177
0,2022-08-29,5.3144555
0,2022-08-30,5.1769333
0,2022-08-31,5.3197455
0,2022-09-01,4.686881
0,2022-09-02,4.4827914
0,2022-09-03,3.482672
0,2022-09-04,4.0382333
0,2022-09-05,3.5891595
0,2022-09-06,3.3164012
0,2022-09-07,3.0482237
0,2022-09-08,4.833639
0,2022-09-09,4.568553
0,2022-09-10,4.225351
0,2022-09-11,4.485202
0,2022-09-12,5.073613
0,2022-09-13,4.602117
0,2022-09-14,4.3704486
0,2022-09-15,3.4658854
0,2022-09-16,3.4887464
0,2022-09-17,3.3920753
0,2022-09-18,3.6929011
0,2022-09-19,3.8812633
0,2022-09-20,3.7210104
0,2022-09-21,4.0893636
0,2022-09-22,3.816566
0,2022-09-23,4.214055
0,2022-09-24,4.3719945
0,2022-09-25,4.3205185
0,2022-09-26,3.9412723
0,2022-09-27,3.606251
0,2022-09-28,4.23456
0,2022-09-29,4.3204236
0,2022-09-30,4.48197
0,2022-10-01,4.3988466
0,2022-10-02,3.800978
0,2022-10-03,3.6969624
0,2022-10-04,2.6884904
